Tarih;Acilis;Kapanis
29 Mart 2021;449.32;451.21
30 Mart 2021;451.37;451.36
31 Mart 2021;451.68;452.37
1 Nisan 2021;453.13;450.8
2 Nisan 2021;450.63;454.45
5 Nisan 2021;454.6;450.2
6 Nisan 2021;451.54;455.74
7 Nisan 2021;456.53;455.14
8 Nisan 2021;456.12;459.08
9 Nisan 2021;459.63;457.29
10 Nisan 2021;459.15;457.31
12 Nisan 2021;457.21;453.73
13 Nisan 2021;454;454.83
14 Nisan 2021;454.99;450.23
15 Nisan 2021;450.51;454.14
16 Nisan 2021;454.14;460.52
17 Nisan 2021;454.14;460.43
19 Nisan 2021;461.21;460.66
20 Nisan 2021;461.05;463.45
21 Nisan 2021;463.59;471.67
22 Nisan 2021;471.54;476.65
23 Nisan 2021;476.62;478.77
26 Nisan 2021;480.87;473.65
27 Nisan 2021;474.36;468.66
28 Nisan 2021;468.53;468.96
29 Nisan 2021;469.54;467.26
30 Nisan 2021;467.89;471.27
1 Mayýs 2021;467.89;471.21
3 Mayýs 2021;470.97;475.35
4 Mayýs 2021;475.48;475.96
5 Mayýs 2021;476.13;477.56
6 Mayýs 2021;478.1;482.86
7 Mayýs 2021;483.24;484.8
8 Mayýs 2021;482.59;484.8
10 Mayýs 2021;484.78;488.36
11 Mayýs 2021;488.3;488.96
12 Mayýs 2021;489.13;491.39
13 Mayýs 2021;492.1;499.29
14 Mayýs 2021;499.51;501.11
17 Mayýs 2021;500.7;498.92
18 Mayýs 2021;499.02;502.13
19 Mayýs 2021;502.21;505.66
20 Mayýs 2021;506.03;505.78
21 Mayýs 2021;505.73;509.09
24 Mayýs 2021;509.55;507.28
25 Mayýs 2021;507.06;516.64
26 Mayýs 2021;516.38;515.65
27 Mayýs 2021;515.66;518.16
28 Mayýs 2021;518.38;524.23
31 Mayýs 2021;524.91;520.49
1 Haziran 2021;520.8;520.52
2 Haziran 2021;529.75;527.17
3 Haziran 2021;527.32;523.41
4 Haziran 2021;523.63;526.95
7 Haziran 2021;526.69;525.91
8 Haziran 2021;526.63;523.7
9 Haziran 2021;523.68;521.57
10 Haziran 2021;521.63;514.32
11 Haziran 2021;514.53;506.72
14 Haziran 2021;506.27;508.14
15 Haziran 2021;508.16;511.43
16 Haziran 2021;511.42;501.9
17 Haziran 2021;502.17;497.11
18 Haziran 2021;497.08;495.64
21 Haziran 2021;496.5;502.76
22 Haziran 2021;503.52;494.67
23 Haziran 2021;494.64;494.17
24 Haziran 2021;494.13;497.03
25 Haziran 2021;497.05;502
26 Haziran 2021;497.05;502.03
28 Haziran 2021;501.73;496.5
29 Haziran 2021;497.04;494.45
30 Haziran 2021;494.27;495.42
1 Temmuz 2021;495.11;494.49
2 Temmuz 2021;494.26;498.76
5 Temmuz 2021;498.27;499.06
6 Temmuz 2021;499.31;502.04
7 Temmuz 2021;502.1;503.57
8 Temmuz 2021;503.73;503.87
9 Temmuz 2021;503.78;503.37
10 Temmuz 2021;503.78;503.43
12 Temmuz 2021;503.48;501.44
13 Temmuz 2021;501.45;500.99
14 Temmuz 2021;500.91;504.34
15 Temmuz 2021;504.92;503.64
16 Temmuz 2021;503.75;496.25
17 Temmuz 2021;503.75;496.26
19 Temmuz 2021;498.64;500.34
20 Temmuz 2021;500.67;498.49
21 Temmuz 2021;499.04;496.29
22 Temmuz 2021;496.49;497.47
23 Temmuz 2021;497.74;495.46
24 Temmuz 2021;497.74;495.48
26 Temmuz 2021;495.33;494.12
27 Temmuz 2021;494.37;495.03
28 Temmuz 2021;494.85;496.57
29 Temmuz 2021;496.75;496.77
30 Temmuz 2021;497.21;492.54
2 Ađustos 2021;492.8;486.67
3 Ađustos 2021;486.64;489.1
4 Ađustos 2021;489.22;493.6
5 Ađustos 2021;493.67;494.37
6 Ađustos 2021;494.71;488.29
7 Ađustos 2021;494.71;488.27
9 Ađustos 2021;488.45;479.91
10 Ađustos 2021;480.15;477.9
11 Ađustos 2021;477.85;485.78
12 Ađustos 2021;485.83;481.5
13 Ađustos 2021;482.36;487.1
14 Ađustos 2021;482.36;487.34
16 Ađustos 2021;487.35;485.73
17 Ađustos 2021;485.87;484.01
18 Ađustos 2021;484;485.82
19 Ađustos 2021;486.34;486.08
20 Ađustos 2021;486.97;485.73
21 Ađustos 2021;486.97;485.86
23 Ađustos 2021;486.11;488.79
24 Ađustos 2021;488.82;486.64
25 Ađustos 2021;485.99;482
26 Ađustos 2021;481.89;483.57
27 Ađustos 2021;483.3;487.73
28 Ađustos 2021;483.3;487.63
30 Ađustos 2021;487.56;487.31
31 Ađustos 2021;487.41;484.49
1 Eylül 2021;484.28;483.12
2 Eylül 2021;483.36;481.36
3 Eylül 2021;481.65;488.61
4 Eylül 2021;481.65;487.97
6 Eylül 2021;488.14;485.2
7 Eylül 2021;485.24;481.59
8 Eylül 2021;481.67;486.66
9 Eylül 2021;487.15;486.79
10 Eylül 2021;486.85;485.92
11 Eylül 2021;486.85;486
13 Eylül 2021;487.1;485.83
14 Eylül 2021;486.08;489.32
15 Eylül 2021;489.34;486.04
16 Eylül 2021;485.97;480.47
17 Eylül 2021;480.55;487.78
20 Eylül 2021;487.81;491.33
21 Eylül 2021;491.45;492.26
22 Eylül 2021;492.1;491.88
23 Eylül 2021;491.55;490.8
24 Eylül 2021;491.32;499.21
25 Eylül 2021;491.32;498.96
27 Eylül 2021;498.46;496.16
28 Eylül 2021;496.4;494.31
29 Eylül 2021;494.31;494.53
30 Eylül 2021;494.44;501.76
1 Ekim 2021;501.66;500.9
2 Ekim 2021;501.66;501.36
4 Ekim 2021;501.34;503.44
5 Ekim 2021;503.67;501.8
6 Ekim 2021;502.02;502.71
7 Ekim 2021;503.22;500.84
8 Ekim 2021;501.07;505.79
9 Ekim 2021;501.07;505.75
11 Ekim 2021;506.69;507.67
12 Ekim 2021;507.64;511.39
13 Ekim 2021;511.72;523.61
14 Ekim 2021;523.48;530.25
15 Ekim 2021;529.69;525.98
16 Ekim 2021;529.69;526.27
18 Ekim 2021;526.27;529.42
19 Ekim 2021;529.92;528.53
20 Ekim 2021;528.69;527.43
21 Ekim 2021;527.82;544.96
22 Ekim 2021;544.72;553.43
23 Ekim 2021;544.72;553.41
25 Ekim 2021;553.38;557.13
26 Ekim 2021;556.91;549.3
27 Ekim 2021;550.45;547.89
28 Ekim 2021;548.89;551
29 Ekim 2021;550.98;549.85
30 Ekim 2021;550.98;549.84
1 Kasým 2021;550.61;549.81
2 Kasým 2021;549.98;551.97
3 Kasým 2021;551.93;548.49
4 Kasým 2021;548.58;557.55
5 Kasým 2021;558.19;565.34
6 Kasým 2021;558.19;565.8
8 Kasým 2021;566.81;567.5
9 Kasým 2021;567.84;573.31
10 Kasým 2021;573.48;586.29
11 Kasým 2021;586.35;593.21
12 Kasým 2021;593.26;600.05
15 Kasým 2021;599.57;602.87
16 Kasým 2021;602.88;613.8
17 Kasým 2021;613.83;637.96
18 Kasým 2021;637;660.51
19 Kasým 2021;660.44;668.03
22 Kasým 2021;660.58;662.05
23 Kasým 2021;662.3;737.61
24 Kasým 2021;738.32;683.43
25 Kasým 2021;684.14;689.46
26 Kasým 2021;690.81;712.54
29 Kasým 2021;712.3;735.16
30 Kasým 2021;735.11;779.47
1 Aralýk 2021;779.39;761.14
2 Aralýk 2021;761.06;777.51
3 Aralýk 2021;779.31;786.01
4 Aralýk 2021;779.31;787.15
6 Aralýk 2021;784.78;788.74
7 Aralýk 2021;789.51;774.16
8 Aralýk 2021;774.27;784.56
9 Aralýk 2021;785.75;786.37
10 Aralýk 2021;786.98;795.66
11 Aralýk 2021;786.98;795.81
13 Aralýk 2021;795.83;794.67
14 Aralýk 2021;794.36;819.83
15 Aralýk 2021;819.51;846.15
16 Aralýk 2021;846.34;907.23
17 Aralýk 2021;907.33;952.63
18 Aralýk 2021;907.33;953.14
20 Aralýk 2021;960.18;772.66
21 Aralýk 2021;770.76;716.53
22 Aralýk 2021;722.36;707.71
23 Aralýk 2021;702.92;656.58
24 Aralýk 2021;656.59;689.42
27 Aralýk 2021;633.42;673.24
28 Aralýk 2021;674.07;686.62
29 Aralýk 2021;686.63;734.83
30 Aralýk 2021;735.2;769.43
31 Aralýk 2021;769.75;781.24
1 Ocak 2022;769.75;781.23
3 Ocak 2022;787.91;756.3
4 Ocak 2022;757.78;783.44
5 Ocak 2022;782.8;793.96
6 Ocak 2022;795.16;795.54
7 Ocak 2022;795.51;796.92
8 Ocak 2022;795.51;797.27
10 Ocak 2022;800.37;800.7
11 Ocak 2022;800.1;809.14
12 Ocak 2022;808.77;776.83
13 Ocak 2022;776.23;794.81
14 Ocak 2022;796.46;789.27
15 Ocak 2022;796.46;789.58
17 Ocak 2022;790.11;785.97
18 Ocak 2022;786.06;789.31
19 Ocak 2022;788.71;795.76
20 Ocak 2022;795.44;789.76
21 Ocak 2022;790.16;792
22 Ocak 2022;790.16;793.27
24 Ocak 2022;792.61;799.86
25 Ocak 2022;799.78;801.1
26 Ocak 2022;800.65;794.2
27 Ocak 2022;794.55;787.45
28 Ocak 2022;788.07;777.06
29 Ocak 2022;788.07;777.45
31 Ocak 2022;778.08;771.08
1 Ţubat 2022;770.79;774.43
2 Ţubat 2022;775;782.87
3 Ţubat 2022;782.76;787.82
4 Ţubat 2022;787.68;788.33
5 Ţubat 2022;787.68;788.36
7 Ţubat 2022;788.14;796.23
8 Ţubat 2022;796.03;796.69
9 Ţubat 2022;796.22;798.09
10 Ţubat 2022;798.16;793.62
11 Ţubat 2022;793.04;808.43
12 Ţubat 2022;793.04;808.6
14 Ţubat 2022;807.42;818.2
15 Ţubat 2022;818.1;810.18
16 Ţubat 2022;818.48;818.6
17 Ţubat 2022;829.21;829.39
18 Ţubat 2022;829.21;832.57
19 Ţubat 2022;829.21;832.47
20 Ţubat 2022;829.21;832.47
21 Ţubat 2022;837.18;837.71
22 Ţubat 2022;843.58;844.13
23 Ţubat 2022;848.36;848.47
24 Ţubat 2022;855.3;855.64
25 Ţubat 2022;855.3;838.67
26 Ţubat 2022;855.3;838.71
27 Ţubat 2022;0;838.71
28 Ţubat 2022;850.35;850.22
1 Mart 2022;868.96;869.22
2 Mart 2022;872.72;871.98
3 Mart 2022;879.77;879.49
4 Mart 2022;879.77;899.4
5 Mart 2022;879.77;899.24
6 Mart 2022;0;899.24
7 Mart 2022;922.21;922.97
8 Mart 2022;953.93;953.61
9 Mart 2022;938.91;937.83
10 Mart 2022;952.03;953.71
11 Mart 2022;952.03;941.33
12 Mart 2022;0;941.33
13 Mart 2022;0;941.33
14 Mart 2022;928.24;927.29
15 Mart 2022;906.12;906.85
16 Mart 2022;905.23;906.99
17 Mart 2022;917.25;918.52
18 Mart 2022;917.25;913.93
19 Mart 2022;0;913.93
20 Mart 2022;0;913.93
21 Mart 2022;923.03;923.04
22 Mart 2022;916.15;915.97
23 Mart 2022;927.87;926.8
24 Mart 2022;932.66;933.17
25 Mart 2022;932.66;933.9
26 Mart 2022;0;933.9
27 Mart 2022;0;933.9
28 Mart 2022;915.9;916.06
29 Mart 2022;899.11;899.48
30 Mart 2022;911;910.7
31 Mart 2022;913.7;914.02
1 Nisan 2022;913.7;909.14
2 Nisan 2022;0;909.14
3 Nisan 2022;0;909.14
4 Nisan 2022;912.37;912.2
5 Nisan 2022;910.93;910.19
6 Nisan 2022;910.76;910.36
7 Nisan 2022;915.33;915.63
8 Nisan 2022;915.33;923.44
9 Nisan 2022;0;923.44
10 Nisan 2022;0;923.44
11 Nisan 2022;921.18;921.15
12 Nisan 2022;922.15;923.3
13 Nisan 2022;928.3;928.22
14 Nisan 2022;927.03;926.85
15 Nisan 2022;927.03;929.18
16 Nisan 2022;0;929.18
17 Nisan 2022;0;929.18
18 Nisan 2022;931.36;931.4
19 Nisan 2022;918.9;918.66
20 Nisan 2022;923.38;923.58
21 Nisan 2022;922.55;922.56
22 Nisan 2022;922.55;915.67
23 Nisan 2022;0;915.67
24 Nisan 2022;0;915.67
25 Nisan 2022;901.79;901.21
26 Nisan 2022;906.36;906.79
27 Nisan 2022;897.75;898.06
28 Nisan 2022;900.46;901.02
29 Nisan 2022;900.46;905.75
30 Nisan 2022;0;905.75
1 Mayýs 2022;0;905.75
2 Mayýs 2022;891.19;891.33
3 Mayýs 2022;889.95;888.96
4 Mayýs 2022;890.03;891.32
5 Mayýs 2022;897.24;897.01
6 Mayýs 2022;897.24;905.21
7 Mayýs 2022;897.24;905.21
8 Mayýs 2022;897.24;905.21
9 Mayýs 2022;899.28;899.43
10 Mayýs 2022;902.5;901.27
11 Mayýs 2022;911.86;911.4
12 Mayýs 2022;899.62;899.52
13 Mayýs 2022;899.62;901.95
14 Mayýs 2022;899.62;901.82
15 Mayýs 2022;0;901.82
16 Mayýs 2022;902.35;912.12
17 Mayýs 2022;928.43;928.25
18 Mayýs 2022;930.67;930.17
19 Mayýs 2022;940.6;940.6
20 Mayýs 2022;940.6;944.01
21 Mayýs 2022;940.6;942.56
22 Mayýs 2022;940.6;942.56
23 Mayýs 2022;948.82;949.49
24 Mayýs 2022;966.23;965.67
25 Mayýs 2022;974.88;975.14
26 Mayýs 2022;972.64;972.28
27 Mayýs 2022;972.64;965.07
28 Mayýs 2022;972.64;965.28
29 Mayýs 2022;0;965.28
30 Mayýs 2022;977.94;977.57
31 Mayýs 2022;969.42;969.2
1 Haziran 2022;973.26;973.35
2 Haziran 2022;989.01;989.05
3 Haziran 2022;989.01;977.28
4 Haziran 2022;989.01;977.2
6 Haziran 2022;980.79;981.43
7 Haziran 2022;997.88;997.97
8 Haziran 2022;1.021.04;1.021.09
9 Haziran 2022;1.019.81;1.017.93
10 Haziran 2022;1.019.81;1.030.70
11 Haziran 2022;1.019.81;1.029.96
12 Haziran 2022;0;1.029.96
13 Haziran 2022;1.009.57;1.008.99
14 Haziran 2022;1.004.00;1.003.64
15 Haziran 2022;1.015.88;1.016.50
16 Haziran 2022;1.032.99;1.032.88
17 Haziran 2022;1.032.99;1.023.92
18 Haziran 2022;1.032.99;1.024.88
19 Haziran 2022;1.032.99;1.024.88
20 Haziran 2022;1.024.65;1.024.09
21 Haziran 2022;1.021.33;1.021.80
22 Haziran 2022;1.023.67;1.024.59
23 Haziran 2022;1.015.83;1.016.79
24 Haziran 2022;1.015.83;992.34
25 Haziran 2022;1.015.83;992.1
26 Haziran 2022;0;992.1
27 Haziran 2022;968.08;970.11
28 Haziran 2022;975.6;975.47
29 Haziran 2022;972.92;972.94
30 Haziran 2022;969.92;969.97
1 Temmuz 2022;969.92;974.65
2 Temmuz 2022;969.92;976.05
3 Temmuz 2022;0;976.05
4 Temmuz 2022;977.79;978.05
5 Temmuz 2022;962.54;964.12
6 Temmuz 2022;962.76;963.24
7 Temmuz 2022;965.24;966.29
8 Temmuz 2022;965.24;968.72
9 Temmuz 2022;965.24;967.98
10 Temmuz 2022;965.24;967.98
11 Temmuz 2022;967.99;967.65
12 Temmuz 2022;960.08;959.65
13 Temmuz 2022;970.97;971.26
14 Temmuz 2022;958.84;958.76
15 Temmuz 2022;958.84;955.58
16 Temmuz 2022;958.84;955.87
17 Temmuz 2022;958.84;955.87
18 Temmuz 2022;959.6;958.6
19 Temmuz 2022;965.71;965.88
20 Temmuz 2022;960.23;960.47
21 Temmuz 2022;979.09;979.04
22 Temmuz 2022;979.09;985.23
23 Temmuz 2022;979.09;984.99
24 Temmuz 2022;0;984.99
25 Temmuz 2022;983.33;984.19
26 Temmuz 2022;985.87;985.67
27 Temmuz 2022;997.32;997.35
28 Temmuz 2022;1.012.91;1.011.59
29 Temmuz 2022;1.012.91;1.017.21
30 Temmuz 2022;1.012.91;1.017.60
31 Temmuz 2022;0;1.017.60
1 Ađustos 2022;1.019.85;1.019.37
2 Ađustos 2022;1.016.22;1.015.94
3 Ađustos 2022;1.017.95;1.017.82
4 Ađustos 2022;1.031.05;1.032.38
5 Ađustos 2022;1.031.05;1.022.52
6 Ađustos 2022;1.031.05;1.022.97
8 Ađustos 2022;1.031.25;1.031.60
9 Ađustos 2022;1.033.56;1.034.13
10 Ađustos 2022;1.030.26;1.029.78
11 Ađustos 2022;1.032.51;1.032.97
12 Ađustos 2022;1.032.51;1.039.36
13 Ađustos 2022;1.032.51;1.039.38
14 Ađustos 2022;1.032.51;1.039.38
15 Ađustos 2022;1.027.96;1.027.95
16 Ađustos 2022;1.022.93;1.023.76
17 Ađustos 2022;1.017.02;1.016.90
18 Ađustos 2022;1.021.48;1.021.55
19 Ađustos 2022;1.021.48;1.016.25
20 Ađustos 2022;1.021.48;1.016.26
21 Ađustos 2022;1.021.48;1.016.26
22 Ađustos 2022;1.007.60;1.008.64
23 Ađustos 2022;1.017.78;1.017.64
24 Ađustos 2022;1.021.61;1.021.51
25 Ađustos 2022;1.027.15;1.027.20
26 Ađustos 2022;1.027.15;1.015.86
27 Ađustos 2022;1.027.15;1.015.90
28 Ađustos 2022;1.027.15;1.015.90
29 Ađustos 2022;1.015.84;1.016.07
30 Ađustos 2022;1.007.09;1.008.29
31 Ađustos 2022;1.000.77;1.000.64
1 Eylül 2022;992.79;993.58
2 Eylül 2022;992.79;1.002.70
3 Eylül 2022;992.79;1.002.68
4 Eylül 2022;0;1.002.68
5 Eylül 2022;1.001.82;1.001.83
6 Eylül 2022;997.4;997.5
7 Eylül 2022;1.007.11;1.006.96
8 Eylül 2022;1.001.52;1.001.87
9 Eylül 2022;1.001.52;1.007.13
10 Eylül 2022;1.001.52;1.007.11
11 Eylül 2022;1.001.52;1.007.11
12 Eylül 2022;1.010.94;1.010.97
13 Eylül 2022;998.99;998.85
14 Eylül 2022;995.49;995.59
15 Eylül 2022;977.9;977.7
16 Eylül 2022;977.9;983.58
17 Eylül 2022;977.9;983.47
18 Eylül 2022;977.9;983.47
19 Eylül 2022;984.61;984.96
20 Eylül 2022;979.99;980.12
21 Eylül 2022;986.55;986.66
22 Eylül 2022;983.84;984.57
23 Eylül 2022;983.84;973.12
24 Eylül 2022;983.84;973.15
25 Eylül 2022;983.84;973.15
26 Eylül 2022;962.99;963.36
27 Eylül 2022;965.91;965.92
28 Eylül 2022;987.51;988.09
29 Eylül 2022;987.9;987.73
30 Eylül 2022;987.9;987.97
1 Ekim 2022;987.9;988.22
2 Ekim 2022;987.9;988.22
3 Ekim 2022;1.013.88;1.013.88
4 Ekim 2022;1.030.44;1.031.60
5 Ekim 2022;1.025.35;1.025.53
6 Ekim 2022;1.023.08;1.022.98
7 Ekim 2022;1.023.08;1.012.86
8 Ekim 2022;1.023.08;1.014.53
9 Ekim 2022;1.023.08;1.014.53
10 Ekim 2022;996.64;996.64
11 Ekim 2022;995.94;995.86
12 Ekim 2022;998.84;998.52
13 Ekim 2022;994.39;994.31
14 Ekim 2022;994.39;981.8
15 Ekim 2022;994.39;981.97
16 Ekim 2022;0;981.97
17 Ekim 2022;986.4;986.05
18 Ekim 2022;987.38;987.37
19 Ekim 2022;973.2;973.31
20 Ekim 2022;973.28;973.13
21 Ekim 2022;973.28;991.19
22 Ekim 2022;973.28;990.47
23 Ekim 2022;973.28;990.47
24 Ekim 2022;986.3;986.75
25 Ekim 2022;988.34;988.79
26 Ekim 2022;995.37;995.65
27 Ekim 2022;994.34;994.54
28 Ekim 2022;994.34;983.18
29 Ekim 2022;994.34;982.72
30 Ekim 2022;994.34;982.72
31 Ekim 2022;976.94;977.19
1 Kasým 2022;984.63;983.86
